area,delay,accuracy
VISp,0.0,40.924369747899156
VISp,0.05,53.529411764705884
VISp,0.1,53.61344537815126
VISp,0.15000000000000002,39.15966386554622
VISp,0.2,17.731092436974794
VISp,0.25,4.78991596638656
VISp,0.30000000000000004,2.1848739495798353
VISp,0.35000000000000003,1.5126050420168013
VISp,0.4,0.5042016806722671
VISp,0.45,0.6722689075630228
VISal,0.0,38.99159663865546
VISal,0.05,50.924369747899156
VISal,0.1,53.445378151260506
VISal,0.15000000000000002,32.60504201680672
VISal,0.2,14.789915966386557
VISal,0.25,5.042016806722693
VISal,0.30000000000000004,2.352941176470591
VISal,0.35000000000000003,1.17647058823529
VISal,0.4,0.9243697478991564
VISal,0.45,0.7563025210084007
VISl,0.0,35.29411764705882
VISl,0.05,48.23529411764705
VISl,0.1,47.22689075630252
VISl,0.15000000000000002,29.915966386554626
VISl,0.2,13.613445378151257
VISl,0.25,5.294117647058827
VISl,0.30000000000000004,2.268907563025213
VISl,0.35000000000000003,1.764705882352946
VISl,0.4,1.6806722689075682
VISl,0.45,0.588235294117645
LGv,0.0,35.3781512605042
LGv,0.05,39.831932773109244
LGv,0.1,29.243697478991592
LGv,0.15000000000000002,12.016806722689077
LGv,0.2,4.453781512605037
LGv,0.25,1.4285714285714235
LGv,0.30000000000000004,1.4285714285714235
LGv,0.35000000000000003,0.6722689075630228
LGv,0.4,0.7563025210084007
LGv,0.45,0.6722689075630228
VISam,0.0,17.647058823529417
VISam,0.05,28.403361344537814
VISam,0.1,31.092436974789916
VISam,0.15000000000000002,19.83193277310924
VISam,0.2,8.403361344537819
VISam,0.25,4.117647058823525
VISam,0.30000000000000004,1.5966386554621903
VISam,0.35000000000000003,0.9243697478991564
VISam,0.4,0.5042016806722671
VISam,0.45,0.5042016806722671
LP,0.0,17.05882352941176
LP,0.05,27.39495798319328
LP,0.1,25.126050420168067
LP,0.15000000000000002,16.470588235294116
LP,0.2,9.15966386554622
LP,0.25,3.529411764705881
LP,0.30000000000000004,1.764705882352946
LP,0.35000000000000003,1.5966386554621903
LP,0.4,0.9243697478991564
LP,0.45,0.588235294117645
